frame,track_id,class,mph,m_per_s,zone_event
4,1,car,28.7,13.428,
4,2,car,26.4,12.698,
4,5,car,26.7,12.285,
5,1,car,28.2,12.183,
5,2,car,25.5,10.669,
5,3,car,19.3,9.87,
5,5,car,28.0,13.704,
6,1,car,28.3,12.836,
6,2,car,26.1,12.442,
6,3,car,19.6,9.212,
6,5,car,27.6,11.864,
7,1,car,28.4,12.739,
7,2,car,26.1,11.617,
7,3,car,19.5,8.387,
7,5,car,27.6,12.315,
8,1,car,28.5,12.943,
8,2,car,25.7,10.749,
8,3,car,19.6,9.144,
8,4,truck,10.8,9.308,
8,5,car,27.7,12.678,
9,1,car,28.5,12.707,
9,2,car,25.7,11.329,
9,3,car,20.0,9.807,
9,4,truck,10.7,4.714,
9,5,car,27.7,12.28,
10,1,car,28.2,11.455,
10,2,car,25.8,11.334,
10,3,car,20.5,9.105,
10,4,truck,11.7,8.162,
10,5,car,27.9,12.178,
11,1,car,27.9,12.324,
11,2,car,25.2,10.73,
11,3,car,20.6,8.788,
11,4,truck,10.6,0.178,
11,5,car,27.9,12.198,
12,1,car,28.0,12.762,
12,2,car,25.1,10.275,
12,3,car,20.3,9.055,
12,4,truck,9.3,0.173,
12,5,car,27.0,11.0,
13,1,car,27.6,11.341,
13,2,car,24.8,11.563,
13,3,car,20.6,10.018,
13,4,truck,9.2,0.178,
13,5,car,27.2,12.57,
14,1,car,27.5,12.505,
14,2,car,24.3,10.025,
14,3,car,20.8,9.026,
14,4,truck,7.3,0.178,
14,5,car,27.3,12.646,
15,1,car,27.3,12.253,
15,2,car,23.9,9.493,
15,3,car,20.7,9.112,
15,4,truck,4.4,0.173,
15,5,car,27.3,12.445,
16,1,car,26.9,11.645,
16,2,car,23.8,11.137,
16,3,car,20.6,9.418,
16,4,truck,2.9,0.178,
16,5,car,27.2,12.079,
17,1,car,27.2,12.299,
17,2,car,23.8,11.196,
17,3,car,20.7,9.299,
17,4,truck,0.4,0.178,
17,5,car,26.8,11.005,
18,1,car,27.0,11.689,
18,2,car,23.5,10.006,
18,3,car,20.3,7.666,
18,4,truck,0.4,0.172,
18,5,car,26.8,12.273,
19,1,car,26.9,12.331,
19,2,car,23.8,10.952,
19,3,car,20.1,8.326,
19,4,truck,0.4,0.178,
19,5,car,27.4,12.605,
20,1,car,27.1,12.198,
20,2,car,23.7,11.449,
20,3,car,20.2,10.428,
20,4,truck,0.4,0.178,
20,5,car,27.0,11.549,
21,1,car,26.7,11.016,
21,2,car,23.5,9.166,
21,3,car,20.1,8.611,
21,4,truck,0.4,0.172,
21,5,car,26.9,12.368,
22,1,car,26.4,11.55,
22,2,car,23.7,10.242,
22,3,car,19.9,8.41,
22,4,truck,0.4,0.178,
22,5,car,26.5,11.144,
23,1,car,26.2,10.885,
23,2,car,23.6,10.982,
23,3,car,19.8,9.191,
23,4,truck,0.4,0.172,
23,5,car,26.5,11.911,
24,1,car,26.1,12.048,
24,2,car,23.5,10.728,
24,3,car,20.1,10.203,
24,4,truck,0.4,0.178,
24,5,car,26.9,12.457,
25,1,car,25.9,11.176,
25,2,car,23.6,10.445,
25,3,car,20.5,9.062,
25,4,truck,0.4,0.178,
25,5,car,26.9,12.138,
26,1,car,25.8,11.878,
26,2,car,23.4,10.23,
26,3,car,20.5,8.155,
26,5,truck,26.1,10.236,
27,1,car,25.5,11.154,
27,2,car,22.9,9.763,
27,3,car,20.2,9.694,
27,5,car,26.6,12.841,
28,1,car,25.5,11.05,
28,2,car,23.2,10.13,
28,3,car,20.8,10.413,
28,5,car,26.6,12.437,
29,1,car,25.5,11.519,
29,2,car,23.3,10.643,
29,3,car,20.7,7.931,
29,5,truck,26.4,10.718,
30,1,car,25.6,11.365,
30,2,car,23.0,10.093,
30,3,car,20.8,9.495,
30,5,car,26.4,11.709,
31,1,car,25.2,10.739,
31,2,car,22.7,9.584,
31,3,car,20.7,10.097,
31,5,car,26.0,11.196,
31,11,car,13.5,3.912,
32,1,car,25.2,11.041,
32,2,car,22.5,9.892,
32,3,car,21.0,9.862,
32,5,truck,25.8,11.495,
32,11,car,13.1,5.225,
33,1,car,24.5,9.889,
33,2,car,22.4,9.955,
33,3,car,21.2,8.75,
33,5,car,26.6,12.81,
33,11,car,12.9,5.224,
34,1,car,24.6,11.336,
34,2,car,22.0,8.461,
34,3,car,21.5,10.839,
34,5,car,25.9,10.642,
34,11,car,12.2,3.585,
35,1,car,24.6,10.987,
35,2,car,22.1,10.513,
