frame,track_id,class,mph,m_per_s,zone_event
4,1,car,28.7,12.827,
4,2,car,26.4,11.785,
4,5,car,26.7,11.931,
5,1,car,28.2,12.612,
5,2,car,25.5,11.413,
5,3,car,19.3,8.632,
5,5,car,28.0,12.522,
6,1,car,28.3,12.668,
6,2,car,26.1,11.671,
6,3,car,19.6,8.777,
6,5,car,27.6,12.358,
7,1,car,28.4,12.682,
7,2,car,26.1,11.66,
7,3,car,19.5,8.699,
7,5,car,27.6,12.349,
8,1,car,28.5,12.726,
8,2,car,25.7,11.508,
8,3,car,19.6,8.773,
8,4,truck,10.8,4.808,
8,5,car,27.7,12.404,
9,1,car,28.5,12.723,
9,2,car,25.7,11.482,
9,3,car,20.0,8.921,
9,4,truck,10.7,4.794,
9,5,car,27.7,12.386,
10,1,car,28.2,12.613,
10,2,car,25.8,11.548,
10,3,car,20.5,9.169,
10,4,truck,11.7,5.243,
10,5,car,27.9,12.472,
11,1,car,27.9,12.455,
11,2,car,25.2,11.267,
11,3,car,20.6,9.188,
11,4,truck,10.6,4.737,
11,5,car,27.9,12.46,
12,1,car,28.0,12.538,
12,2,car,25.1,11.211,
12,3,car,20.3,9.071,
12,4,truck,9.3,4.162,
12,5,car,27.0,12.073,
13,1,car,27.6,12.324,
13,2,car,24.8,11.085,
13,3,car,20.5,9.186,
13,4,truck,9.2,4.116,
13,5,car,27.2,12.174,
14,1,car,27.5,12.291,
14,2,car,24.3,10.858,
14,3,car,20.8,9.278,
14,4,truck,7.3,3.27,
14,5,car,27.3,12.221,
15,1,car,27.3,12.192,
15,2,car,23.9,10.678,
15,3,car,20.7,9.273,
15,4,truck,4.4,1.965,
15,5,car,27.3,12.188,
16,1,car,26.9,12.041,
16,2,car,23.8,10.651,
16,3,car,20.6,9.217,
16,4,truck,2.9,1.317,
16,5,car,27.2,12.159,
17,1,car,27.2,12.161,
17,2,car,23.8,10.631,
17,3,car,20.7,9.245,
17,4,truck,0.4,0.177,
17,5,car,26.8,11.992,
18,1,car,27.0,12.071,
18,2,car,23.6,10.528,
18,3,car,20.3,9.085,
18,4,truck,0.4,0.176,
18,5,car,26.8,12.003,
19,1,car,26.9,12.009,
19,2,car,23.8,10.625,
19,3,car,20.1,8.981,
19,4,truck,0.4,0.176,
19,5,car,27.4,12.232,
20,1,car,27.1,12.131,
20,2,car,23.7,10.608,
20,3,car,20.2,9.039,
20,4,truck,0.4,0.176,
20,5,car,27.0,12.086,
21,1,car,26.7,11.919,
21,2,car,23.5,10.486,
21,3,car,20.1,8.98,
21,4,truck,0.4,0.176,
